A19,A20,A21,B19,B20,B21,C19,C20,C21,D19,D20,D21,E19,E20,E21,F19,F20,F21,G19,G20,G21,H19,H20,H21,C36,Nombre Archivo
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWB7S,,,,,,COLTEL-089908,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWB7S,CT-COLTEL089908.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1QAD16,,,,,,COLTEL-089923,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1QAD16,CT-COLTEL089923.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3F78,,,,,,COLTEL-089932,,,PORTATIL,,,"Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3F78, se evidencia que el teclado del portatil presenta fallas, se deja desconectado el teclado para poder realizar la actividad de borrado seguro.
SIN MAUSE",CT-COLTEL-089932.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3GN2,,,,,,COLTEL-089934,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3GN2 SIN MAUSE,CT-COLTEL089934.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWB9Y,,,,,,COLTEL-089938,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWB9Y,CT-COLTEL089938.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWCP3,,,,,,COLTEL-089940,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWCP3. Equipo con el teclado dañado,CT-COLTEL089940.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1W7JH,,,,,,COLTEL-089942,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1W7JH,CT-COLTEL089942.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3KLC,,,,,,COLTEL-089971,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3KLC,CT-COLTEL089971.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3D8S,,,,,,COLTEL-089934,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3D8S SIN MAUSE Y AL CARGADOR LE FALTA EL CABLE ELECTRICO,CT-COLTEL089973.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3KK9,,,,,,COLTEL-089977,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3KK9. Equipo con problemas en el teclado ,CT-COLTEL089977.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3GV3,,,,,,COLTEL-089993,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3GV3,CT-COLTEL089993.xlsx
PORTATIL,MOUSE,,LENOVO,LENOVO,,,,,V330-14ARR,SM-8823,,MP1Q3ELT,8SSM50L24506MT00SRC3911,,,,,COLTEL-089995,COLTEL-123616,,PORTATIL,MOUSE,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3ELT,CT-COLTEL089995.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3EER,,,,,,COLTEL-089997,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3EER,CT-COLTEL089997.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3KN9,,,,,,COLTEL-089999,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3KN9,CT-COLTEL089999.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1Q3KDR,,,,,,COLTEL-090001,,,PORTATIL,,,"Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1Q3KDR,EL EQUIPO LE FALTAN TORNILLOS DE LA TAPA ",CT-COLTEL090001.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,MP1PWBC5,,,,,,COLTEL-089934,,,PORTATIL,,,"Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1PWBC5 SIN MAUSE, EL TECLADO NO FUNCIONA",CT-COLTEL090007.xlsx
PORTATIL,MOUSE,,LENOVO,LENOVO,,,,,V330-14ARR,SM-8823,,MP1QA2RB,8SSM50L24506MT00SDLP911,,,,,COLTEL-142157,COLTEL-122830,,PORTATIL,MOUSE,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARR con numero de serie MP1QA2RB. Equipo con problemas de funcionamiento en teclado.,CT-COLTEL142157.xlsx
PORTATIL,,,LENOVO,,,,,,V330-14ARR,,,,,,,,,,,,PORTATIL,,,Acción: Se realiza el borrado seguro al equipo portatil LENOVO V330-14ARRsin serial y sin placa,CT-COLTELsinserial.xlsx
